,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_rh_G_and_S_transv_frontopol,1.778362602,-1.00399163,-0.2451256045,0.05218120633,0.3618959304,0.7707574611,0.811406425,0.407317692,-0.2555187404,0.05684772894,0.06721050959,1.610933244,-0.1797370599,-0.3384734231,-0.5181130685,0.2037633092,0.39235723,0.6358361006,0.8560000957
ctx_rh_G_and_S_cingul-Ant,-0.5915872133,0.4256601344,0.1706456206,0.13579679,-0.6567946653,-0.3989213429,0.2476612604,0.05073182442,-1.336082439,-0.04420071697,-0.05279680227,0.2825977166,0.1224445651,0.5896193427,-0.711170044,-0.06468236026,1.299536498,-0.5461945687,1.397023988
ctx_rh_G_and_S_cingul-Mid-Ant,-0.6249598401,1.931045041,-0.1522678292,0.5800119856,-0.2289917674,-0.4674750472,0.5328266222,0.2044139498,-0.7794623455,0.1420850385,0.3141397607,-0.6099838556,0.3651556935,0.6815361214,-1.092640433,0.1079332532,0.9562228967,-1.1843845,1.308212229
ctx_rh_G_and_S_cingul-Mid-Post,-0.3718413727,1.918731101,-0.361814551,1.028458686,0.02447997883,-0.6722115185,0.2796116257,0.04842749928,-0.3931350725,0.1675259425,0.2394351699,-0.6041639621,0.459458776,0.4742500656,-0.7616773804,-0.1237429872,0.6713966775,0.8959526124,0.8539989711
ctx_rh_G_cingul-Post-dorsal,-0.2819443649,1.439119266,-0.4287359765,0.3121606843,0.5479956376,-0.4273701549,0.4686501542,0.1872511481,-0.552888295,0.1736185029,-0.02856501582,-0.6298357024,0.1907533987,0.987870306,-0.6618905643,0.1091493229,0.2156700055,1.413329732,0.3821323344
ctx_rh_G_cingul-Post-ventral,-0.1792167097,0.2141159359,-1.020089091,-1.339145137,-0.4087788559,-0.4575800792,0.5032557372,0.2645418041,-0.03731193644,0.2422370905,-1.381421609,-0.7402791311,-0.2450605037,0.3743057131,-0.3855551924,0.2550323819,-0.4041785921,0.6649825017,-0.7877054203
ctx_rh_G_cuneus,0.4271853675,-0.6602207405,-0.3760584584,0.6348326983,0.4113380823,-0.4039666895,0.4824038153,0.05457083993,0.0186237706,0.1426042401,-0.2619228974,0.3866092965,-0.2082283339,0.7721868718,0.1336648436,0.8496566152,0.09073339721,-0.1870079145,-0.9700135625
ctx_rh_G_front_inf-Opercular,-0.6929825961,-0.3250092019,0.1871723686,0.8101852831,-0.3847070334,0.6264275476,1.297160238,0.7297951896,1.294166109,0.2977561272,0.3276775509,-0.7593657761,0.025507916,0.5882650548,0.4275143041,0.4091113445,0.8808813731,-0.717544567,0.9510925651
ctx_rh_G_front_inf-Orbital,1.091479996,-0.6319999084,-0.09586885256,0.6056774258,1.601226982,0.8915589594,1.273367375,0.7211615354,1.310898304,0.3669508901,0.3087585441,0.9067769064,-0.1068917038,0.7960747802,1.706286948,0.4082991872,0.4275666963,0.2072104866,0.8457238617
ctx_rh_G_front_inf-Triangul,0.8759927607,-0.5894708583,-0.1408866434,0.8443455918,0.8363205347,1.078882859,0.9451800503,0.4281966176,1.310898304,0.1670902323,0.5181334172,0.5955757162,-0.1553405719,0.4324419756,1.652649498,0.09212055869,0.4636274371,1.435249413,0.7224686791
ctx_rh_G_front_middle,0.4405411429,-0.7985168397,-0.1421585936,0.5071923711,-8.409926415e-05,0.687242583,0.8818437424,0.4075844704,1.229333457,0.01312300297,0.5468868213,0.146538531,-0.2075461527,0.2547546866,0.3414026822,0.277101865,0.6514361517,1.11448386,0.9524227277
ctx_rh_G_front_sup,-0.1845109725,-0.4851412345,-0.2991621661,0.3108465142,0.799010439,-0.252357511,0.9610867435,0.4225865617,-0.3966442013,0.02573309165,0.1580731291,-0.03575127699,-0.1632629491,0.4404526126,-0.2043374844,0.290278768,0.8420998334,0.7961560864,0.8116696785
